video_title,channel_id,channel_name
YOASOBI「あの夢をなぞって (Ballade Ver.)」 - スマホ映画『夢の雫と星の花』コラボスペシャルムービー,UCvpredjG93ifbCP1Y77JyFA,Ayase / YOASOBI
YOASOBI「あの夢をなぞって」 Official Music Video,UCvpredjG93ifbCP1Y77JyFA,Ayase / YOASOBI
夜に駆ける,UCI6B8NkZKqlFWoiC_xE-hzA,YOASOBI - Topic
群青,UCI6B8NkZKqlFWoiC_xE-hzA,YOASOBI - Topic
たぶん,UCI6B8NkZKqlFWoiC_xE-hzA,YOASOBI - Topic
海のまにまに,UCI6B8NkZKqlFWoiC_xE-hzA,YOASOBI - Topic
Answer,UCISF03gz20_8vWnkSVYlOEw,Lilas Ikuta - Topic
優しい彗星,UCI6B8NkZKqlFWoiC_xE-hzA,YOASOBI - Topic
ミスター,UCI6B8NkZKqlFWoiC_xE-hzA,YOASOBI - Topic
スパークル,UCISF03gz20_8vWnkSVYlOEw,Lilas Ikuta - Topic
おまじない,UCISF03gz20_8vWnkSVYlOEw,Lilas Ikuta - Topic
